"column_x","column_y"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Raucher","Nicht-Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
"Nicht-Raucher","Nicht-Raucher"
